trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
3034,False,"{'a': 0.001, 'e': 0.048170908414803745}",25,11,10.22171120741201,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
3035,False,"{'a': 0.001, 'e': 0.048122761583816655}",30,6,11.217494252044931,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 0}",1
3036,False,"{'a': 0.001, 'e': 0.04807466287559518}",20,0,28.691998699965353,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3037,False,"{'a': 0.001, 'e': 0.048026612242040585}",30,19,21.130732381173793,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3038,False,"{'a': 0.001, 'e': 0.04797860963510223}",25,14,21.670582153130557,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3039,False,"{'a': 0.001, 'e': 0.0479306550067775}",30,16,24.823440713942748,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3040,False,"{'a': 0.001, 'e': 0.04788274830911178}",30,17,22.960317634611332,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3041,False,"{'a': 0.001, 'e': 0.04783488949419837}",25,12,25.26740919833679,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3042,False,"{'a': 0.001, 'e': 0.04778707851417843}",20,12,12.098216720301082,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3043,False,"{'a': 0.001, 'e': 0.047739315321240976}",30,3,28.933041002670045,"{0: 26, 1: 0, 2: 1, 3: 0, 4: 0}",1
3044,False,"{'a': 0.001, 'e': 0.047691599867622836}",20,14,5.347120891091301,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
3045,False,"{'a': 0.001, 'e': 0.047643932105608536}",20,8,20.79948109128936,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3046,False,"{'a': 0.001, 'e': 0.04759631198753032}",25,14,19.81673486836985,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3047,False,"{'a': 0.001, 'e': 0.04754873946576803}",20,2,26.178811116839675,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3048,False,"{'a': 0.001, 'e': 0.04750121449274919}",20,0,25.727926107452348,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3049,False,"{'a': 0.001, 'e': 0.0474537370209488}",35,7,51.67728479548574,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
3050,False,"{'a': 0.001, 'e': 0.04740630700288939}",20,13,13.616460291067868,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3051,False,"{'a': 0.001, 'e': 0.04735892439114091}",20,11,18.651612331686206,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3052,False,"{'a': 0.001, 'e': 0.047311589138320786}",30,16,28.23306373993267,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3053,False,"{'a': 0.001, 'e': 0.047264301197093746}",25,13,17.957949921573885,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3054,False,"{'a': 0.001, 'e': 0.04721706052017184}",25,18,14.553294826192044,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3055,False,"{'a': 0.001, 'e': 0.04716986706031437}",20,0,27.61203043727542,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
3056,False,"{'a': 0.001, 'e': 0.04712272077032791}",20,13,13.94053706263161,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3057,False,"{'a': 0.001, 'e': 0.04707562160306615}",20,13,15.036435882103,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3058,False,"{'a': 0.001, 'e': 0.04702856951142992}",30,15,23.267270011103424,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3059,False,"{'a': 0.001, 'e': 0.04698156444836709}",20,6,26.727326257447462,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3060,False,"{'a': 0.001, 'e': 0.04693460636687265}",20,3,25.910893831799765,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3061,False,"{'a': 0.001, 'e': 0.046887695219988486}",25,11,21.21992478015224,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3062,False,"{'a': 0.001, 'e': 0.04684083096080345}",25,15,17.096143432785396,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3063,False,"{'a': 0.001, 'e': 0.04679401354245326}",20,3,28.432724480358424,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3064,False,"{'a': 0.001, 'e': 0.046747242918120525}",30,13,29.128767634666143,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3065,False,"{'a': 0.001, 'e': 0.04670051904103461}",25,15,20.18059072997277,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3066,False,"{'a': 0.001, 'e': 0.04665384186447163}",25,16,17.32508489738761,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3067,False,"{'a': 0.001, 'e': 0.04660721134175438}",25,7,33.71212098040784,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3068,False,"{'a': 0.001, 'e': 0.046560627426252374}",25,5,31.449481285180823,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
3069,False,"{'a': 0.001, 'e': 0.04651409007138167}",20,7,23.94632986437973,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
3070,False,"{'a': 0.001, 'e': 0.04646759923060492}",30,4,16.266430382477726,"{0: 25, 1: 0, 2: 0, 3: 1, 4: 0}",1
3071,False,"{'a': 0.001, 'e': 0.04642115485743125}",25,15,18.799004991960214,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
3072,False,"{'a': 0.001, 'e': 0.04637475690541633}",30,15,29.125829304132186,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
3073,False,"{'a': 0.001, 'e': 0.046328405328162174}",25,13,24.305896573248113,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3074,False,"{'a': 0.001, 'e': 0.04628210007931721}",25,16,16.96291921054292,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3075,False,"{'a': 0.001, 'e': 0.046235841112576184}",25,17,14.496525676180502,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
3076,False,"{'a': 0.001, 'e': 0.0461896283816801}",30,18,23.86434359187118,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
3077,False,"{'a': 0.001, 'e': 0.04614346184041627}",25,17,3.738414225154849,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3078,False,"{'a': 0.001, 'e': 0.04609734144261812}",20,12,1.5946431909224328,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3079,False,"{'a': 0.001, 'e': 0.046051267142165266}",25,14,23.736732680211865,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3080,False,"{'a': 0.001, 'e': 0.04600523889298336}",20,6,25.710589969910647,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
3081,False,"{'a': 0.001, 'e': 0.045959256649044204}",20,9,19.95278328764191,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3082,False,"{'a': 0.001, 'e': 0.04591332036436553}",30,19,7.767708339211724,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
3083,False,"{'a': 0.001, 'e': 0.04586742999301104}",25,18,-4.68023223710358,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 0}",1
3084,False,"{'a': 0.001, 'e': 0.045821585489090357}",30,19,20.473746298731122,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3085,False,"{'a': 0.001, 'e': 0.04577578680675899}",20,11,18.77532329283671,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3086,False,"{'a': 0.001, 'e': 0.04573003390021825}",20,11,17.399698299453227,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
3087,False,"{'a': 0.001, 'e': 0.04568432672371522}",20,2,12.704792473199586,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
